product_name,category,discounted_price,actual_price,discount_percentage,rating_count,about_product,product_link
"Reffair AX30 [MAX] Portable Air Purifier for Car, Home & Office | Smart Ionizer Function | H13 Grade True HEPA Filter [Internationally Tested] Aromabuds Fragrance Option - Black",Car&Motorbike|CarAccessories|InteriorAccessories|AirPurifiers&Ionizers,"₹2,339","₹4,000",42%,"1,118","[NEW LAUNCH - INNOVATIVE DESIGN] EFFICIENT PURIFICATION TECHNOLOGY - Reffair AX30 has the tapered design with an H13 HEPA filter and Smart Negative Ions feature which makes this device perform better and it comes with an effective CADR of 16.2 m³/h. AX30 is Re-designed in the year 2021, especially for Indian market conditions.|TESTED & RELIABLE PERFORMANCE - Reffair AX30 is tested successfully in many international laboratories and assures you peace of mind with reliable purification performance. WIDE APPLICATION - Reffair AX30 is portable and lightweight which makes it easier to use at various locations like home, office, small room, desktop, or inside the car.|HIGH GRADE FILTER - HEPA filters are most trusted and widely used for air purification needs in the world because they provide the best purification results. Reffair AX30 is equipped with H13 HEPA FILTER which can efficiently remove 99.97% of dust, pollen, cigarette smoke, odors, mold spores, and pet dander. It is suitable for those who suffer from allergies, cough, sneezing, and for the entire family who loves to travel together.|100% SAFE TO USE - Many car air purifiers & Ionizers come with built-in non-certified batteries which expose the car to the risk of fire & also cause regular battery drain problems. Reffair AX30 has no battery inside which means that the product is safer to use even at higher temperatures. ENERGY EFFICIENT - It is rated highly energy-efficient product and consumes up to 70% less energy than ionizers hence keeping your car batteries safe from draining out faster.|AFTER-SALES SUPPORT - Reffair AX30 comes with a one-year limited warranty from the date of purchase. In case if you face any problem with our product, please contact us before leaving any review. Our friendly customer care team is always ready to enhance your product experience. Filter life is up to 6 months and Authentic Reffair replacement filter is always available at B0912LC8R9 (ASIN).",https://www.amazon.in/Reffair-AX30-MAX-Internationally-Aromabuds/dp/B0912WJ87V/ref=sr_1_164?qid=1672923598&s=kitchen&sr=1-164
"Kanget [2 Pack] Type C Female to USB A Male Charger | Charging Cable Adapter Converter compatible for iPhone 14, 13, 12,11 Pro Max/Mini/XR/XS/X/SE, Samsung S20 ultra/S21/S10/S8/S9/MacBook Pro iPad (Grey)",Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,₹149,₹399,63%,"1,540","👍【USB C TO USB ADAPTER】-This is a USB C FEMALE to USB MALE adapter, used to turn all you USB-A ports of laptops, chargers or other devices into a USB-C port. Gives you the ability to connect USB-C peripherals to devices with USB-A ports.|👍【HIGH-SPEED-TRANSMISSION 】 Supports Single-side USB 3.0 (USB 3.1 Gen 1) 5GB/s superspeed data transfer. Please note that this USB to USB C Adapter only supports single-sided 5Gbps high-speed transmission. The Type-C female port allows you to switch between USB 3.1 speed and USB 2.0 speed with a simple flip of the Type C plug. Now you can enjoy unparalleled transmission quality from your devices!|👍【DATA SYNC AND CHARGING】USB 3.0 (USB 3.1 Gen 1)port, up to 3A, enables up to sync and display movies or music in real time thanks to a 5Gbps transfer speed, approx 10x than USB 2.0; Also, you can edit video in camera directly via port instead of downloading files|👍【SUPERRIOR DURABILITY】Made of Premium aluminum alloy housing with specular precision process, enables plug in/out again and again. Tested and inspected meet USB Standards, fit for USB 3.0 / USB 2.0 devices, built-in 56KΩ pull-up resistor protects your devices from damage. Internal PCMA adopts EMI proof process, more stable performance.|👍【 EASY OPERATION AND PORTABILITY】-Easy to use,just PLUG and PLAY, no driver required. This USB C TO USB 3.0 adapter has the advantages of SIMPLE STRUCTURE ultra COMPACT,LIGHTWEIGHT and PORTABILITY, small enough to leave it in the USB port or anywhere in your package, take it anywhere you want!",https://www.amazon.in/Kanget-Female-Adapter-Standard-Interface/dp/B094DQWV9B/ref=sr_1_171?qid=1672903004&s=computers&sr=1-171
"rts [2 Pack] Mini USB C Type C Adapter Plug, Type C Female to USB A Male Charger Charging Cable Adapter Converter compatible for iPhone, Samsung S20 ultra/S21/S10/S8/S9/MacBook Pro iPad Silver",Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,₹294,"₹4,999",94%,"4,426","【WIDER COMPATIBILITY】This USB C Female to USB A Male adapter converter allows you to connect legacy Type-A laptops/PC,Power bank,Adapter and Charger with USB Type-C cable,USB Type-C hubs and USB Type-C peripherals. Specially compatible with iPhone 12/12 Mini/12 Pro/12 Pro Max,Samsung Galaxy Note 10/S20 Plus Ultra,Google Pixel 4/3/2 XL. ❌IMPORTANT NOTE: This product is NOT compatible with Mag-safe wireless charger due to the incompatibility of charging protocols.|【FULL FUNCTIONALITY】The USB A Male to USB C Female adapter has a multiple functions.You can easily hook up any USB-C peripherals (USB C cable, Type-C flash drive, USB-C hub) that make use of the newer USB-C connector.This USB C Female converter can be used for charging,date transfer,audio signal transmission and connecting keyboard or mouse.Additionally,it can be also used to plug into the car USB-A port.|【CHARGING AND DATA TRANSFER】This USB 2.0 adapter offers both sides date transfer speeds of up to 480Mbps between connected devices and also supports up to 2.4 Amps of power output for charging your devices,due to the built-in premium chip.Just plug into a regular USB A port,allowing you to convert to a upgraded Type C device.Truly a plug-and-play solution. ❌NOTE:NOT support video signal transmission.|【2 PACK COMPACT DESIGN】Comes with 2 packs: One for home, one for office, one for car and one carried in the bag, sticking with laptops or commonly used type C cable or others can be used as backups. Micro USB to USB C adapter is smaller than a coin, easy to carry around or toss in a bag. 15mm width allows you to plug them side by side, taking little space and working well in tight spaces.|【SAFER USING】USB C and USB A connector is made of premium aluminum alloy on the ends, designed for frequent plugging & unplugging and heat dissipation, which is safer compared to other plastic adapters. Every USB adapter has built-in 56KΩ resistor ensure safety during charging. Just plug and charge your devices with assurance.",https://www.amazon.in/rts-Adapter-Charging-Converter-compatible/dp/B097C564GC/ref=sr_1_121?qid=1672903001&s=computers&sr=1-121
"Hp Wired On Ear Headphones With Mic With 3.5 Mm Drivers, In-Built Noise Cancelling, Foldable And Adjustable For Laptop/Pc/Office/Home/ 1 Year Warranty (B4B09Pa)",Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets,₹649,₹999,35%,"7,222","Powerful bass and clear treble sounds|Wired connectivity|Ideal for long hours of listening|Superior sound quality and lengthy cable for easy of use|Compact and durable|The smart integrated in-cord remote facilitates easy audio control options|Additional Features: 35mm drivers, gold plated connectors, volume/mute control.",https://www.amazon.in/HP-B4B09PA-Headphones-with-Mic/dp/B009LJ2BXA/ref=sr_1_361?qid=1672903013&s=computers&sr=1-361
"HUMBLE Dynamic Lapel Collar Mic Voice Recording Filter Microphone for Singing Youtube SmartPhones, Black",Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones,₹199,₹499,60%,"2,804","SOUND RECORDING: With the Miracle Sound Microphone you can finally create the perfect videos and audio files on your smartphone and tablet. Pristine sound without .effort, no matter where you are.|SIMPLE OPERATION: Precise Design and Convenient Carrying.|EASY TO USE: Clip-on design, easy to clip it to your shirt, collar or placed in small pockets.|CONNECTOR: The 3.5mm type jack can be connected to PC / Laptop / wireless microphone transmitter with 3.5mm line-in / mic in.|USE FOR: Youtube, Interview, Recording, Podcasting, Conference call. Now you can instantly reproduce your voice, no additional plugs or batteries needed.",https://www.amazon.in/HUMBLE-Dynamic-Recording-Microphone-SmartPhones/dp/B08HD7JQHX/ref=sr_1_205?qid=1672903005&s=computers&sr=1-205
"JBL Commercial CSLM20B Auxiliary Omnidirectional Lavalier Microphone with Battery for Content Creation, Voiceover/Dubbing, Recording (Black,Small)",Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones,₹949,"₹2,000",53%,"14,969","Omnidirectional pickup pattern|3.5mm TRRS jack compatible with smartphones & most DSLR cameras|Can be used with mixer amplifiers with 1/4"" (6.3mm) adapter|Powered by LR44 type battery to connect to DSLR cameras, Ideal for : Content Creation, Conference Calls, Voiceover/Dubbing, Voiceover/Dubbing|Cable Length: 6 Meters|Application: Content Creation, Voice over/Dubbing, Recording|Tie-clip, windshield, 1/4"" (6.3mm) adapter, LR44 battery, carry pouch included",https://www.amazon.in/JBL-Commercial-Omnidirectional-Microphone-Recording/dp/B08SCCG9D4/ref=sr_1_179?qid=1672903004&s=computers&sr=1-179
"ZEBRONICS Zeb-Warrior II 10 watts 2.0 Multimedia Speaker with RGB Lights, USB Powered, AUX Input, Volume Control Pod for PC, Laptops, Desktop",Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,₹649,"₹1,300",50%,"5,195","Warrior II is an 2.0 USB Powered Speaker. Note : Connect the usb side to either laptop or through adapter to any power source and another 3.5 mm pin to music source|Connects with Laptop, Desktop PC - 3.5mm AUX Input. Frequency response:150Hz- 20kHz, Driver size 52mm x 2|It comes with RGB LED Lights|It has an Volume Control Pod Feature|The total out put is 10W (5W x 2) RMS|Color Name: Black",https://www.amazon.in/ZEBRONICS-Zeb-Warrior-Speaker-Laptops-Desktop/dp/B08SBH499M/ref=sr_1_394?qid=1672903014&s=computers&sr=1-394
Zebronics Zeb Wonderbar 10 USB Powered 2.0 Computer Speaker with RGB Lights,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,₹849,"₹1,499",43%,"7,352","The 2.0 speaker has a versatile design that can be used in 2 ways either it can be set as one horizontal soundbar unit or as a vertical 2.0 speaker setup that not only makes the design very efficient but also hasslefree.|USB Powered. Frequency response: 100Hz-18kHz|Volume control, Separation ≥50dB|RGB lights|3.5mm Earphone/mic compatible. Note : Connect the usb side to either laptop or through adapter to any power source and 3.5 mm pin to music source. For detaching the the speaker they just need to slide the product that will result in 2 satellite speakers .|The 2.0 speaker has a versatile design that can be used in 2 ways either it can be set as one horizontal soundbar unit or as a vertical 2.0 speaker setup that not only makes the design very efficient but also hasslefree..S/N Ratio ≥60dB|USB Powered. Frequency response: 100Hz-18kHz",https://www.amazon.in/Zebronics-Wonderbar-Powered-Computer-Speaker/dp/B08K9PX15C/ref=sr_1_285?qid=1672903008&s=computers&sr=1-285
"Lenovo 300 FHD Webcam with Full Stereo Dual Built-in mics | FHD 1080P 2.1 Megapixel CMOS Camera |Privacy Shutter | Ultra-Wide 95 Lens | 360 Rotation | Flexible Mount, Plug-n-Play | Cloud Grey",Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,"₹1,890","₹5,490",66%,"10,976","Full HD Video Calls with Stereo Audio: The Lenovo 300 FHD Webcam is powered by a Full HD 1080P 2.1 Megapixel CMOS camera that allows your friends, family, and colleagues to see you as clear as day, even when they are worlds away. With full stereo dual-mics that are perfect for conferencing or long-distance video calls, they’ll be able to hear you loud and clear, every time.|High resolution FHD 1080P Webcam with dual mics: The innovative FHD 1080P camera delivers perfect high-resolution video and lets you set the scene with its ultra-wide 95° lens. Video alone is not enough, though, which is why two built-in mics capture crisp stereo audio from all directions.|Easy Plug-and-Play Setup: Simply unpack and unfold the camera when you want to do a call, and plug the USB 2.0 cable into any Windows or Mac device. Within seconds, you will be ready to go live on your favorite conferencing or streaming software, with no drivers necessary.|Supported OS: Windows 7, Windows 8 or Windows 10, Mac OS X 10.14 or Higher, Ubuntu 20.04, Chromebook 85.0.4181.3 | Resolution: 1920 x 1080 (MJPG) @ 30 Frame Rate (default) | Focus: Fixed Focus | Field of View: 95° | Rating: 5V 150mA | Clip: Tripod-ready Universal Clip Fits Laptops, Desktops and other LCD Monitors|Mount Anywhere & Everywhere: With a 1.8 m cable, tripod support, and a flexible mounting mechanism, you can attach your webcam virtually anywhere. Even difficult angles work, thanks to the wide-angle, tilt controls, and 360° rotation. Just mount it, tilt it, and open the privacy shutter",https://www.amazon.in/Lenovo-Megapixel-Ultra-Wide-Rotation-Plug-n-Play/dp/B09P22HXH6/ref=sr_1_323?qid=1672903011&s=computers&sr=1-323
"Logitech C270 Digital HD Webcam with Widescreen HD Video Calling, HD Light Correction, Noise-Reducing Mic, for Skype, FaceTime, Hangouts, WebEx, PC/Mac/Laptop/MacBook/Tablet - (Black, HD 720p/30fps)",Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,"₹1,990","₹2,595",23%,"20,398","Crisp HD 720p/30 fps video calls with diagonal 55° field of view and auto light correction. Compatible with popular platforms including Skype and Zoom.|The built-in noise-reducing mic makes sure your voice comes across clearly up to 1.5 meters away, even if you’re in busy surroundings.|C270’s RightLight 2 feature adjusts to lighting conditions, producing brighter, contrasted images to help you look good in all your conference calls.|The adjustable universal clip lets you attach the camera securely to your screen or laptop, or fold the clip and set the webcam on a shelf. You’re always ready for your next video call.|Ideal for laptop or tablet: Compatible with Windows 10 or later, Windows 8, Windows 7, Mac OS 10.10 or later, and Chrome OS via the USB port",https://www.amazon.in/Logitech-C270-HD-Webcam-Black/dp/B008QS9J6Y/ref=sr_1_230?qid=1672903006&s=computers&sr=1-230
